Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,066062,1868,08,8.0,Y
IDCJAC0004,066062,1868,09,11.0,Y
IDCJAC0004,066062,1868,10,14.3,Y
IDCJAC0004,066062,1868,11,15.1,Y
IDCJAC0004,066062,1868,12,17.8,Y
IDCJAC0004,066062,1869,01,18.8,Y
IDCJAC0004,066062,1869,02,17.6,Y
IDCJAC0004,066062,1869,03,18.4,Y
IDCJAC0004,066062,1869,04,15.2,Y
IDCJAC0004,066062,1869,05,11.2,Y
IDCJAC0004,066062,1869,06,9.2,Y
IDCJAC0004,066062,1869,07,7.2,Y
IDCJAC0004,066062,1869,08,8.7,Y
IDCJAC0004,066062,1869,09,9.9,Y
IDCJAC0004,066062,1869,10,12.7,Y
IDCJAC0004,066062,1869,11,15.3,Y
IDCJAC0004,066062,1869,12,17.3,Y
IDCJAC0004,066062,1870,01,18.1,Y
IDCJAC0004,066062,1870,02,18.9,Y
IDCJAC0004,066062,1870,03,17.6,Y
IDCJAC0004,066062,1870,04,15.2,Y
IDCJAC0004,066062,1870,05,11.9,Y
IDCJAC0004,066062,1870,06,8.9,Y
IDCJAC0004,066062,1870,07,7.4,Y
IDCJAC0004,066062,1870,08,7.9,Y
IDCJAC0004,066062,1870,09,10.4,Y
IDCJAC0004,066062,1870,10,14.4,Y
IDCJAC0004,066062,1870,11,15.6,Y
IDCJAC0004,066062,1870,12,16.4,Y
IDCJAC0004,066062,1871,01,17.4,Y
IDCJAC0004,066062,1871,02,18.3,Y
IDCJAC0004,066062,1871,03,15.0,Y
IDCJAC0004,066062,1871,04,14.0,Y
IDCJAC0004,066062,1871,05,12.1,Y
IDCJAC0004,066062,1871,06,8.2,Y
IDCJAC0004,066062,1871,07,7.3,Y
IDCJAC0004,066062,1871,08,7.8,Y
IDCJAC0004,066062,1871,09,10.6,Y
IDCJAC0004,066062,1871,10,11.8,Y
IDCJAC0004,066062,1871,11,14.8,Y
IDCJAC0004,066062,1871,12,17.8,Y
IDCJAC0004,066062,1872,01,19.3,Y
IDCJAC0004,066062,1872,02,18.8,Y
IDCJAC0004,066062,1872,03,16.7,Y
IDCJAC0004,066062,1872,04,13.0,Y
IDCJAC0004,066062,1872,05,9.8,Y
IDCJAC0004,066062,1872,06,9.4,Y
IDCJAC0004,066062,1872,07,7.9,Y
IDCJAC0004,066062,1872,08,6.9,Y
IDCJAC0004,066062,1872,09,9.9,Y
IDCJAC0004,066062,1872,10,13.4,Y
IDCJAC0004,066062,1872,11,16.3,Y
IDCJAC0004,066062,1872,12,17.8,Y
IDCJAC0004,066062,1873,01,17.6,Y
IDCJAC0004,066062,1873,02,17.9,Y
IDCJAC0004,066062,1873,03,16.4,Y
IDCJAC0004,066062,1873,04,14.2,Y
IDCJAC0004,066062,1873,05,11.6,Y
IDCJAC0004,066062,1873,06,11.4,Y
IDCJAC0004,066062,1873,07,7.0,Y
IDCJAC0004,066062,1873,08,9.4,Y
IDCJAC0004,066062,1873,09,11.0,Y
IDCJAC0004,066062,1873,10,13.7,Y
IDCJAC0004,066062,1873,11,13.7,Y
IDCJAC0004,066062,1873,12,17.8,Y
IDCJAC0004,066062,1874,01,19.0,Y
IDCJAC0004,066062,1874,02,18.0,Y
IDCJAC0004,066062,1874,03,17.7,Y
IDCJAC0004,066062,1874,04,16.0,Y
IDCJAC0004,066062,1874,05,11.7,Y
IDCJAC0004,066062,1874,06,8.0,Y
IDCJAC0004,066062,1874,07,7.0,Y
IDCJAC0004,066062,1874,08,7.5,Y
IDCJAC0004,066062,1874,09,9.8,Y
IDCJAC0004,066062,1874,10,13.9,Y
IDCJAC0004,066062,1874,11,14.8,Y
IDCJAC0004,066062,1874,12,17.1,Y
IDCJAC0004,066062,1875,01,18.6,Y
IDCJAC0004,066062,1875,02,17.9,Y
IDCJAC0004,066062,1875,03,17.7,Y
IDCJAC0004,066062,1875,04,15.3,Y
IDCJAC0004,066062,1875,05,10.2,Y
IDCJAC0004,066062,1875,06,9.6,Y
IDCJAC0004,066062,1875,07,7.6,Y
IDCJAC0004,066062,1875,08,9.2,Y
IDCJAC0004,066062,1875,09,9.2,Y
IDCJAC0004,066062,1875,10,13.8,Y
IDCJAC0004,066062,1875,11,15.0,Y
IDCJAC0004,066062,1875,12,16.5,Y
IDCJAC0004,066062,1876,01,19.0,Y
IDCJAC0004,066062,1876,02,18.1,Y
IDCJAC0004,066062,1876,03,18.7,Y
IDCJAC0004,066062,1876,04,14.5,Y
IDCJAC0004,066062,1876,05,12.7,Y
IDCJAC0004,066062,1876,06,8.5,Y
IDCJAC0004,066062,1876,07,8.2,Y
IDCJAC0004,066062,1876,08,8.6,Y
IDCJAC0004,066062,1876,09,11.1,Y
IDCJAC0004,066062,1876,10,13.2,Y
IDCJAC0004,066062,1876,11,15.8,Y
IDCJAC0004,066062,1876,12,17.1,Y
IDCJAC0004,066062,1877,01,18.7,Y
IDCJAC0004,066062,1877,02,18.8,Y
IDCJAC0004,066062,1877,03,17.9,Y
IDCJAC0004,066062,1877,04,14.3,Y
IDCJAC0004,066062,1877,05,12.0,Y
IDCJAC0004,066062,1877,06,8.7,Y
IDCJAC0004,066062,1877,07,9.5,Y
IDCJAC0004,066062,1877,08,8.9,Y
IDCJAC0004,066062,1877,09,10.7,Y
IDCJAC0004,066062,1877,10,12.8,Y
IDCJAC0004,066062,1877,11,16.2,Y
IDCJAC0004,066062,1877,12,17.4,Y
IDCJAC0004,066062,1878,01,19.0,Y
IDCJAC0004,066062,1878,02,19.5,Y
IDCJAC0004,066062,1878,03,19.0,Y
IDCJAC0004,066062,1878,04,15.2,Y
IDCJAC0004,066062,1878,05,10.1,Y
IDCJAC0004,066062,1878,06,7.2,Y
IDCJAC0004,066062,1878,07,7.5,Y
IDCJAC0004,066062,1878,08,9.0,Y
IDCJAC0004,066062,1878,09,11.5,Y
IDCJAC0004,066062,1878,10,12.8,Y
IDCJAC0004,066062,1878,11,15.8,Y
IDCJAC0004,066062,1878,12,17.6,Y
IDCJAC0004,066062,1879,01,18.9,Y
IDCJAC0004,066062,1879,02,18.2,Y
IDCJAC0004,066062,1879,03,16.8,Y
IDCJAC0004,066062,1879,04,13.4,Y
IDCJAC0004,066062,1879,05,10.6,Y
IDCJAC0004,066062,1879,06,7.8,Y
IDCJAC0004,066062,1879,07,7.4,Y
IDCJAC0004,066062,1879,08,9.7,Y
IDCJAC0004,066062,1879,09,12.2,Y
IDCJAC0004,066062,1879,10,13.2,Y
IDCJAC0004,066062,1879,11,14.8,Y
IDCJAC0004,066062,1879,12,16.6,Y
IDCJAC0004,066062,1880,01,18.2,Y
IDCJAC0004,066062,1880,02,18.9,Y
IDCJAC0004,066062,1880,03,17.9,Y
IDCJAC0004,066062,1880,04,15.2,Y
IDCJAC0004,066062,1880,05,10.3,Y
IDCJAC0004,066062,1880,06,7.6,Y
IDCJAC0004,066062,1880,07,6.4,Y
IDCJAC0004,066062,1880,08,9.3,Y
IDCJAC0004,066062,1880,09,11.8,Y
IDCJAC0004,066062,1880,10,12.3,Y
IDCJAC0004,066062,1880,11,15.4,Y
IDCJAC0004,066062,1880,12,17.0,Y
IDCJAC0004,066062,1881,01,17.9,Y
IDCJAC0004,066062,1881,02,18.0,Y
IDCJAC0004,066062,1881,03,17.5,Y
IDCJAC0004,066062,1881,04,14.3,Y
IDCJAC0004,066062,1881,05,12.1,Y
IDCJAC0004,066062,1881,06,8.3,Y
