Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,094029,1891,11,17.8,Y
IDCJAC0002,094029,1891,12,19.0,Y
IDCJAC0002,094029,1892,01,20.4,Y
IDCJAC0002,094029,1892,02,23.0,Y
IDCJAC0002,094029,1892,07,12.1,Y
IDCJAC0002,094029,1892,08,13.8,Y
IDCJAC0002,094029,1892,09,14.7,Y
IDCJAC0002,094029,1892,10,14.8,Y
IDCJAC0002,094029,1892,11,20.8,Y
IDCJAC0002,094029,1892,12,19.4,Y
IDCJAC0002,094029,1893,01,20.5,Y
IDCJAC0002,094029,1893,02,22.3,Y
IDCJAC0002,094029,1893,03,20.3,Y
IDCJAC0002,094029,1893,04,16.8,Y
IDCJAC0002,094029,1893,05,13.9,Y
IDCJAC0002,094029,1893,06,11.1,Y
IDCJAC0002,094029,1893,07,10.9,Y
IDCJAC0002,094029,1893,08,14.1,Y
IDCJAC0002,094029,1893,09,15.6,Y
IDCJAC0002,094029,1893,10,19.1,Y
IDCJAC0002,094029,1893,11,18.5,Y
IDCJAC0002,094029,1893,12,20.7,Y
IDCJAC0002,094029,1894,01,19.9,Y
IDCJAC0002,094029,1894,02,22.1,Y
IDCJAC0002,094029,1894,03,19.5,Y
IDCJAC0002,094029,1894,04,18.1,Y
IDCJAC0002,094029,1894,05,14.3,Y
IDCJAC0002,094029,1894,06,13.3,Y
IDCJAC0002,094029,1894,07,11.0,Y
IDCJAC0002,094029,1894,08,12.4,Y
IDCJAC0002,094029,1894,09,14.6,Y
IDCJAC0002,094029,1894,10,19.0,Y
IDCJAC0002,094029,1894,11,19.2,Y
IDCJAC0002,094029,1894,12,21.5,Y
IDCJAC0002,094029,1895,01,23.0,Y
IDCJAC0002,094029,1895,02,25.2,Y
IDCJAC0002,094029,1895,03,19.7,Y
IDCJAC0002,094029,1895,04,17.8,Y
IDCJAC0002,094029,1895,05,14.5,Y
IDCJAC0002,094029,1895,06,13.7,Y
IDCJAC0002,094029,1895,07,10.3,Y
IDCJAC0002,094029,1895,08,11.9,Y
IDCJAC0002,094029,1895,09,13.3,Y
IDCJAC0002,094029,1895,10,18.4,Y
IDCJAC0002,094029,1895,11,18.6,Y
IDCJAC0002,094029,1895,12,20.5,Y
IDCJAC0002,094029,1896,01,21.0,Y
IDCJAC0002,094029,1896,02,20.8,Y
IDCJAC0002,094029,1896,03,19.0,Y
IDCJAC0002,094029,1896,04,16.3,Y
IDCJAC0002,094029,1896,05,13.6,Y
IDCJAC0002,094029,1896,06,10.2,Y
IDCJAC0002,094029,1896,07,10.2,Y
IDCJAC0002,094029,1896,08,12.4,Y
IDCJAC0002,094029,1896,09,15.1,Y
IDCJAC0002,094029,1896,10,18.0,Y
IDCJAC0002,094029,1896,11,20.0,Y
IDCJAC0002,094029,1896,12,23.1,Y
IDCJAC0002,094029,1897,01,21.3,Y
IDCJAC0002,094029,1897,02,20.5,Y
IDCJAC0002,094029,1897,03,17.9,Y
IDCJAC0002,094029,1897,04,16.9,Y
IDCJAC0002,094029,1897,05,12.2,Y
IDCJAC0002,094029,1897,06,12.4,Y
IDCJAC0002,094029,1897,07,11.6,Y
IDCJAC0002,094029,1897,08,11.8,Y
IDCJAC0002,094029,1897,09,15.8,Y
IDCJAC0002,094029,1897,10,15.8,Y
IDCJAC0002,094029,1897,11,20.2,Y
IDCJAC0002,094029,1897,12,23.5,Y
IDCJAC0002,094029,1898,01,20.7,Y
IDCJAC0002,094029,1898,02,22.1,Y
IDCJAC0002,094029,1898,03,21.0,Y
IDCJAC0002,094029,1898,04,16.3,Y
IDCJAC0002,094029,1898,05,12.0,Y
IDCJAC0002,094029,1898,06,11.0,Y
IDCJAC0002,094029,1898,07,11.6,Y
IDCJAC0002,094029,1898,08,14.3,Y
IDCJAC0002,094029,1898,09,15.7,Y
IDCJAC0002,094029,1898,10,17.5,Y
IDCJAC0002,094029,1898,11,17.5,Y
IDCJAC0002,094029,1898,12,21.1,Y
IDCJAC0002,094029,1899,01,19.5,Y
IDCJAC0002,094029,1899,02,24.3,Y
IDCJAC0002,094029,1899,03,22.0,Y
IDCJAC0002,094029,1899,04,15.9,Y
IDCJAC0002,094029,1899,05,13.5,Y
IDCJAC0002,094029,1899,06,10.6,Y
IDCJAC0002,094029,1899,07,11.1,Y
IDCJAC0002,094029,1899,08,11.8,Y
IDCJAC0002,094029,1899,09,16.1,Y
IDCJAC0002,094029,1899,10,16.5,Y
IDCJAC0002,094029,1899,11,18.8,Y
IDCJAC0002,094029,1899,12,23.1,Y
IDCJAC0002,094029,1900,01,23.2,Y
IDCJAC0002,094029,1900,02,23.5,Y
IDCJAC0002,094029,1900,03,21.3,Y
IDCJAC0002,094029,1900,04,16.5,Y
IDCJAC0002,094029,1900,05,14.1,Y
IDCJAC0002,094029,1900,06,13.1,Y
IDCJAC0002,094029,1900,07,10.7,Y
IDCJAC0002,094029,1900,08,11.7,Y
IDCJAC0002,094029,1900,09,14.5,Y
IDCJAC0002,094029,1900,10,17.0,Y
IDCJAC0002,094029,1900,11,20.3,Y
IDCJAC0002,094029,1900,12,20.7,Y
IDCJAC0002,094029,1901,01,20.3,Y
IDCJAC0002,094029,1901,02,21.9,Y
IDCJAC0002,094029,1901,03,20.1,Y
IDCJAC0002,094029,1901,04,15.7,Y
IDCJAC0002,094029,1901,05,15.0,Y
IDCJAC0002,094029,1901,06,10.8,Y
IDCJAC0002,094029,1901,07,10.8,Y
IDCJAC0002,094029,1901,08,12.6,Y
IDCJAC0002,094029,1901,09,15.0,Y
IDCJAC0002,094029,1901,10,17.8,Y
IDCJAC0002,094029,1901,11,21.1,Y
IDCJAC0002,094029,1901,12,21.1,Y
IDCJAC0002,094029,1902,01,21.3,Y
IDCJAC0002,094029,1902,02,19.3,Y
IDCJAC0002,094029,1902,03,18.1,Y
IDCJAC0002,094029,1902,04,16.5,Y
IDCJAC0002,094029,1902,05,14.9,Y
IDCJAC0002,094029,1902,06,10.3,Y
IDCJAC0002,094029,1902,07,11.3,Y
IDCJAC0002,094029,1902,08,12.5,Y
IDCJAC0002,094029,1902,09,13.9,Y
IDCJAC0002,094029,1902,10,17.5,Y
IDCJAC0002,094029,1902,11,20.4,Y
IDCJAC0002,094029,1902,12,19.7,Y
IDCJAC0002,094029,1903,01,22.2,Y
IDCJAC0002,094029,1903,02,22.7,Y
IDCJAC0002,094029,1903,03,21.3,Y
IDCJAC0002,094029,1903,04,18.1,Y
IDCJAC0002,094029,1903,05,12.6,Y
IDCJAC0002,094029,1903,06,11.0,Y
IDCJAC0002,094029,1903,07,10.2,Y
IDCJAC0002,094029,1903,08,12.4,Y
IDCJAC0002,094029,1903,09,14.5,Y
IDCJAC0002,094029,1903,10,18.8,Y
IDCJAC0002,094029,1903,11,18.9,Y
IDCJAC0002,094029,1903,12,19.0,Y
IDCJAC0002,094029,1904,01,23.6,Y
IDCJAC0002,094029,1904,02,20.8,Y
IDCJAC0002,094029,1904,03,18.4,Y
IDCJAC0002,094029,1904,04,19.5,Y
IDCJAC0002,094029,1904,05,15.9,Y
IDCJAC0002,094029,1904,06,11.8,Y
IDCJAC0002,094029,1904,07,12.2,Y
IDCJAC0002,094029,1904,08,13.0,Y
IDCJAC0002,094029,1904,09,15.0,Y
IDCJAC0002,094029,1904,10,18.0,Y
IDCJAC0002,094029,1904,11,18.8,Y
IDCJAC0002,094029,1904,12,22.4,Y
IDCJAC0002,094029,1905,01,22.7,Y
IDCJAC0002,094029,1905,02,21.1,Y
IDCJAC0002,094029,1905,03,20.8,Y
IDCJAC0002,094029,1905,04,18.2,Y
IDCJAC0002,094029,1905,05,14.2,Y
IDCJAC0002,094029,1905,06,12.1,Y
IDCJAC0002,094029,1905,07,10.9,Y
IDCJAC0002,094029,1905,08,13.5,Y
IDCJAC0002,094029,1905,09,12.0,Y
IDCJAC0002,094029,1905,10,13.6,Y
IDCJAC0002,094029,1905,11,19.3,Y
IDCJAC0002,094029,1905,12,20.6,Y
IDCJAC0002,094029,1906,01,22.8,Y
IDCJAC0002,094029,1906,02,22.1,Y
IDCJAC0002,094029,1906,03,20.7,Y
IDCJAC0002,094029,1906,04,17.0,Y
IDCJAC0002,094029,1906,05,14.5,Y
IDCJAC0002,094029,1906,06,12.7,Y
IDCJAC0002,094029,1906,07,11.8,Y
IDCJAC0002,094029,1906,08,12.8,Y
IDCJAC0002,094029,1906,09,15.3,Y
IDCJAC0002,094029,1906,10,17.2,Y
IDCJAC0002,094029,1906,11,17.7,Y
IDCJAC0002,094029,1906,12,21.2,Y
IDCJAC0002,094029,1907,01,20.7,Y
IDCJAC0002,094029,1907,02,20.3,Y
IDCJAC0002,094029,1907,03,18.4,Y
IDCJAC0002,094029,1907,04,15.7,Y
IDCJAC0002,094029,1907,05,15.5,Y
IDCJAC0002,094029,1907,06,11.6,Y
IDCJAC0002,094029,1907,07,11.6,Y
IDCJAC0002,094029,1907,08,13.5,Y
IDCJAC0002,094029,1907,09,14.5,Y
IDCJAC0002,094029,1907,10,17.3,Y
IDCJAC0002,094029,1907,11,20.4,Y
IDCJAC0002,094029,1907,12,20.4,Y
IDCJAC0002,094029,1908,01,23.5,Y
IDCJAC0002,094029,1908,02,22.9,Y
IDCJAC0002,094029,1908,03,19.8,Y
IDCJAC0002,094029,1908,04,17.1,Y
IDCJAC0002,094029,1908,05,14.1,Y
IDCJAC0002,094029,1908,06,10.6,Y
IDCJAC0002,094029,1908,07,10.8,Y
IDCJAC0002,094029,1908,08,12.2,Y
IDCJAC0002,094029,1908,09,14.0,Y
IDCJAC0002,094029,1908,10,16.4,Y
IDCJAC0002,094029,1908,11,20.4,Y
IDCJAC0002,094029,1908,12,20.4,Y
IDCJAC0002,094029,1909,01,19.3,Y
IDCJAC0002,094029,1909,02,20.1,Y
IDCJAC0002,094029,1909,03,20.4,Y
IDCJAC0002,094029,1909,04,15.4,Y
IDCJAC0002,094029,1909,05,14.2,Y
IDCJAC0002,094029,1909,06,10.3,Y
IDCJAC0002,094029,1909,07,10.8,Y
IDCJAC0002,094029,1909,08,11.3,Y
IDCJAC0002,094029,1909,09,14.8,Y
IDCJAC0002,094029,1909,10,17.1,Y
IDCJAC0002,094029,1909,11,19.9,Y
IDCJAC0002,094029,1909,12,19.3,Y
IDCJAC0002,094029,1910,01,21.2,Y
IDCJAC0002,094029,1910,02,23.0,Y
IDCJAC0002,094029,1910,03,20.8,Y
IDCJAC0002,094029,1910,04,19.3,Y
IDCJAC0002,094029,1910,05,14.8,Y
IDCJAC0002,094029,1910,06,11.4,Y
IDCJAC0002,094029,1910,07,10.8,Y
IDCJAC0002,094029,1910,08,13.9,Y
IDCJAC0002,094029,1910,09,15.2,Y
IDCJAC0002,094029,1910,10,16.1,Y
IDCJAC0002,094029,1910,11,20.4,Y
IDCJAC0002,094029,1910,12,19.6,Y
IDCJAC0002,094029,1911,01,21.3,Y
IDCJAC0002,094029,1911,02,22.7,Y
IDCJAC0002,094029,1911,03,19.7,Y
IDCJAC0002,094029,1911,04,16.4,Y
IDCJAC0002,094029,1911,05,14.6,Y
IDCJAC0002,094029,1911,06,10.8,Y
IDCJAC0002,094029,1911,07,11.0,Y
IDCJAC0002,094029,1911,08,10.3,Y
IDCJAC0002,094029,1911,09,14.3,Y
IDCJAC0002,094029,1911,10,17.2,Y
IDCJAC0002,094029,1911,11,19.2,Y
IDCJAC0002,094029,1911,12,18.3,Y
IDCJAC0002,094029,1912,01,21.4,Y
IDCJAC0002,094029,1912,02,23.4,Y
IDCJAC0002,094029,1912,03,19.5,Y
IDCJAC0002,094029,1912,04,15.9,Y
IDCJAC0002,094029,1912,05,14.3,Y
IDCJAC0002,094029,1912,06,12.3,Y
IDCJAC0002,094029,1912,07,10.4,Y
IDCJAC0002,094029,1912,08,13.6,Y
