Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,094029,1891,11,8.0,Y
IDCJAC0004,094029,1891,12,10.3,Y
IDCJAC0004,094029,1892,01,10.7,Y
IDCJAC0004,094029,1892,02,11.1,Y
IDCJAC0004,094029,1892,07,4.2,Y
IDCJAC0004,094029,1892,08,4.2,Y
IDCJAC0004,094029,1892,09,5.2,Y
IDCJAC0004,094029,1892,10,6.0,Y
IDCJAC0004,094029,1892,11,9.4,Y
IDCJAC0004,094029,1892,12,9.5,Y
IDCJAC0004,094029,1893,01,11.6,Y
IDCJAC0004,094029,1893,02,11.2,Y
IDCJAC0004,094029,1893,03,9.9,Y
IDCJAC0004,094029,1893,04,9.8,Y
IDCJAC0004,094029,1893,05,6.2,Y
IDCJAC0004,094029,1893,06,5.3,Y
IDCJAC0004,094029,1893,07,4.9,Y
IDCJAC0004,094029,1893,08,6.3,Y
IDCJAC0004,094029,1893,09,6.6,Y
IDCJAC0004,094029,1893,10,8.7,Y
IDCJAC0004,094029,1893,11,8.9,Y
IDCJAC0004,094029,1893,12,11.0,Y
IDCJAC0004,094029,1894,01,12.3,Y
IDCJAC0004,094029,1894,02,11.0,Y
IDCJAC0004,094029,1894,03,11.4,Y
IDCJAC0004,094029,1894,04,10.4,Y
IDCJAC0004,094029,1894,05,6.1,Y
IDCJAC0004,094029,1894,06,6.7,Y
IDCJAC0004,094029,1894,07,5.7,Y
IDCJAC0004,094029,1894,08,5.6,Y
IDCJAC0004,094029,1894,09,5.8,Y
IDCJAC0004,094029,1894,10,9.0,Y
IDCJAC0004,094029,1894,11,9.7,Y
IDCJAC0004,094029,1894,12,11.0,Y
IDCJAC0004,094029,1895,01,11.1,Y
IDCJAC0004,094029,1895,02,13.0,Y
IDCJAC0004,094029,1895,03,10.9,Y
IDCJAC0004,094029,1895,04,8.7,Y
IDCJAC0004,094029,1895,05,6.3,Y
IDCJAC0004,094029,1895,06,7.7,Y
IDCJAC0004,094029,1895,07,3.4,Y
IDCJAC0004,094029,1895,08,5.2,Y
IDCJAC0004,094029,1895,09,5.9,Y
IDCJAC0004,094029,1895,10,8.2,Y
IDCJAC0004,094029,1895,11,8.5,Y
IDCJAC0004,094029,1895,12,11.5,Y
IDCJAC0004,094029,1896,01,10.9,Y
IDCJAC0004,094029,1896,02,11.8,Y
IDCJAC0004,094029,1896,03,10.8,Y
IDCJAC0004,094029,1896,04,8.3,Y
IDCJAC0004,094029,1896,05,6.4,Y
IDCJAC0004,094029,1896,06,4.5,Y
IDCJAC0004,094029,1896,07,4.2,Y
IDCJAC0004,094029,1896,08,4.5,Y
IDCJAC0004,094029,1896,09,6.0,Y
IDCJAC0004,094029,1896,10,8.7,Y
IDCJAC0004,094029,1896,11,8.8,Y
IDCJAC0004,094029,1896,12,10.9,Y
IDCJAC0004,094029,1897,01,10.9,Y
IDCJAC0004,094029,1897,02,11.7,Y
IDCJAC0004,094029,1897,03,9.2,Y
IDCJAC0004,094029,1897,04,8.5,Y
IDCJAC0004,094029,1897,05,5.4,Y
IDCJAC0004,094029,1897,06,5.0,Y
IDCJAC0004,094029,1897,07,4.2,Y
IDCJAC0004,094029,1897,08,2.9,Y
IDCJAC0004,094029,1897,09,6.4,Y
IDCJAC0004,094029,1897,10,6.4,Y
IDCJAC0004,094029,1897,11,9.1,Y
IDCJAC0004,094029,1897,12,11.7,Y
IDCJAC0004,094029,1898,01,12.7,Y
IDCJAC0004,094029,1898,02,14.1,Y
IDCJAC0004,094029,1898,03,11.8,Y
IDCJAC0004,094029,1898,04,9.6,Y
IDCJAC0004,094029,1898,05,5.3,Y
IDCJAC0004,094029,1898,06,4.7,Y
IDCJAC0004,094029,1898,07,5.2,Y
IDCJAC0004,094029,1898,08,5.7,Y
IDCJAC0004,094029,1898,09,7.0,Y
IDCJAC0004,094029,1898,10,8.1,Y
IDCJAC0004,094029,1898,11,8.5,Y
IDCJAC0004,094029,1898,12,10.0,Y
IDCJAC0004,094029,1899,01,10.8,Y
IDCJAC0004,094029,1899,02,12.6,Y
IDCJAC0004,094029,1899,03,11.4,Y
IDCJAC0004,094029,1899,04,9.0,Y
IDCJAC0004,094029,1899,05,6.0,Y
IDCJAC0004,094029,1899,06,4.1,Y
IDCJAC0004,094029,1899,07,3.6,Y
IDCJAC0004,094029,1899,08,3.7,Y
IDCJAC0004,094029,1899,09,6.8,Y
IDCJAC0004,094029,1899,10,6.3,Y
IDCJAC0004,094029,1899,11,9.5,Y
