Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,1964,09,9.5,Y
IDCJAC0004,023034,1964,10,10.5,Y
IDCJAC0004,023034,1964,11,12.5,Y
IDCJAC0004,023034,1964,12,12.9,Y
IDCJAC0004,023034,1965,01,14.0,Y
IDCJAC0004,023034,1965,02,15.6,Y
IDCJAC0004,023034,1965,03,14.1,Y
IDCJAC0004,023034,1965,04,10.1,Y
IDCJAC0004,023034,1965,05,11.0,Y
IDCJAC0004,023034,1965,06,7.2,Y
IDCJAC0004,023034,1965,07,7.1,Y
IDCJAC0004,023034,1965,08,8.0,Y
IDCJAC0004,023034,1965,09,10.3,Y
IDCJAC0004,023034,1965,10,12.1,Y
IDCJAC0004,023034,1965,11,13.0,Y
IDCJAC0004,023034,1965,12,17.6,Y
IDCJAC0004,023034,1966,01,17.3,Y
IDCJAC0004,023034,1966,02,15.4,Y
IDCJAC0004,023034,1966,03,15.0,Y
IDCJAC0004,023034,1966,04,11.5,Y
IDCJAC0004,023034,1966,05,10.1,Y
IDCJAC0004,023034,1966,06,8.5,Y
IDCJAC0004,023034,1966,07,7.0,Y
IDCJAC0004,023034,1966,08,7.2,Y
IDCJAC0004,023034,1966,09,8.7,Y
IDCJAC0004,023034,1966,10,10.5,Y
IDCJAC0004,023034,1966,11,13.9,Y
IDCJAC0004,023034,1966,12,14.5,Y
IDCJAC0004,023034,1967,01,14.7,Y
IDCJAC0004,023034,1967,02,15.9,Y
IDCJAC0004,023034,1967,03,13.3,Y
IDCJAC0004,023034,1967,04,11.7,Y
IDCJAC0004,023034,1967,05,7.6,Y
IDCJAC0004,023034,1967,06,5.9,Y
IDCJAC0004,023034,1967,07,6.5,Y
IDCJAC0004,023034,1967,08,5.6,Y
IDCJAC0004,023034,1967,09,8.1,Y
IDCJAC0004,023034,1967,10,10.2,Y
IDCJAC0004,023034,1967,11,12.5,Y
IDCJAC0004,023034,1967,12,14.1,Y
IDCJAC0004,023034,1968,01,17.3,Y
IDCJAC0004,023034,1968,02,17.5,Y
IDCJAC0004,023034,1968,03,15.8,Y
IDCJAC0004,023034,1968,04,14.0,Y
IDCJAC0004,023034,1968,05,9.7,Y
